university,career,inscription_date,last_name,gender,age,location,email
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-INDUSTRIAL,12-11-2020,MARIA-RANDOLPH,F,18-08-1974,ALEJANDRO-KORN,KARLDAVIS@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,15-12-2020,TINA-THOMAS,F,27-02-2012,GRACIARENA,MFLOWERS@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,ARQUITECTURA,01-10-2020,MRS.-KELLI-MASSEY,F,01-01-1983,25-DE-MAYO,GOODERICA@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-INDUSTRIAL,28-11-2020,JOHNNY-HOPKINS,M,16-07-1984,CHANCAY,JOSEMORRIS@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,07-12-2020,TIMOTHY-WILSON,M,08-01-1951,7-DE-ABRIL,GARDNERKURT@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,02-10-2020,MONICA-SKINNER,F,11-05-1956,ALTO-CON-ZAMPA,MEYERANTHONY@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,24-11-2020,COLIN-ORTIZ,M,06-09-1913,ARMSTRONG,JAMES58@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,ARQUITECTURA,01-10-2020,YOLANDA-SCOTT,F,16-04-1994,COLONIA-BELGRANO,SNYDERCALEB@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIA-POLÍTICA-,15-10-2020,RODNEY-MARTIN,M,11-10-1972,ALBIGASTA,GBROWNING@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-GEOLÓGICAS,12-09-2020,ROGER-TORRES,M,07-02-2019,AVANZADA,APRILBROCK@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-ARTES,07-09-2020,PETER-JACKSON,M,13-08-1923,SAN-JOSE-DE-PIEDRA-BLANCA,NCARSON@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PSICOLOGÍA,10-01-2021,DANNY-DAVIS,M,30-06-1945,BELLA-VISTA,ELLEN01@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,TÉCNICO-PARA-BIOTERIOS-,23-10-2020,DUSTIN-LAWRENCE,M,11-10-2020,ALDEA-CHALECO,XCAMPBELL@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,29-09-2020,KAREN-SILVA,F,13-04-1982,ALEGRIA,ABELTRAN@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,22-11-2020,SEAN-REEVES,M,26-03-1975,CARLOS-PELLEGRINI,KRIVERA@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,27-12-2020,JASON-BELTRAN-DDS,M,23-11-2001,BAÑADO-SAN-ANTONIO,SCHMIDTBLAKE@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,05-10-2020,THOMAS-GONZALES,M,08-05-1948,FAVELLI,CARLAEDWARDS@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-ELECTRÓNICA,05-10-2020,KELLY-SMITH,F,28-04-2015,AYUI-PARADA,JOSEPH65@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,MEDICINA,11-12-2020,ANGELA-KING,F,02-11-2004,ALTO-BLANCO,JENNIFERRICHARDSON@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,31-12-2020,JAMIE-JOHNSON,F,24-02-1975,BOCAS,KIMBERLYEDWARDS@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,02-12-2020,BETH-RIVERA,F,16-04-1935,LA-DORITA,HLEE@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,FARMACIA,18-10-2020,LEAH-SUTTON,F,25-12-2013,CHICLANA,SHERRYSCHULTZ@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,24-11-2020,KATHRYN-ROBERTS,F,26-11-2010,ZONA-DELTA-SAN-FERNANDO,CALEBBURNETT@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,CONTADOR-PÚBLICO-,01-09-2020,KENDRA-RUSSELL,F,28-10-2011,CAÑADA-ROSQUIN,STEPHEN57@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,15-09-2020,JENNIFER-MORRISON,F,17-04-1908,ESTANCIA-LAS-GAMAS,EHULL@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-MUSICOTERAPIA,14-09-2020,JOSEPH-KIM,M,20-10-2016,DIAMANTE,VASQUEZKEITH@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,03-09-2020,MICHELLE-DEAN,F,28-02-1965,SAN-LORENZO,SUSAN85@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,25-10-2020,MELISSA-WILSON,F,02-04-1935,ALTONA,OBRIENTREVOR@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-INDUSTRIAL,13-01-2021,ARIEL-NEWMAN,F,03-11-1987,APEADERO-GUANACACHE,ALEXANDER93@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-MECÁNICA,23-01-2021,KRISTINA-ACOSTA,F,25-10-1909,EDUARDO-COSTA,ECOFFEY@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,01-02-2021,KEVIN-SIMPSON,M,04-11-1975,AGUADA-A-PIQUE,LANCE70@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,CONTADOR-PÚBLICO-,03-10-2020,DANIEL-WHITE,M,15-01-1984,CAÑADON-BOTELLO,CHRISTINE06@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-EN-INFORMÁTICA,04-01-2021,DANIEL-SALAZAR,M,04-08-1986,AGUA-DE-LA-MULA,IPRUITT@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,MEDICINA,27-11-2020,JOSHUA-BRIDGES,M,16-07-1913,OTTO-BEMBERG,SMITHWILLIAM@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,23-01-2021,ROBERT-MADDOX,M,11-02-1925,ARTURO-ALMARAZ,WILSONRYAN@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIA-POLÍTICA-,16-10-2020,EDWARD-ANDERSON,M,21-10-1979,SEY,CUMMINGSKRISTINE@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,CIENCIAS-VETERINARIAS,11-10-2020,AMY-HOLLAND,F,05-04-1961,BUSTAMANTE,TARA47@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-GEOLÓGICAS,11-11-2020,SARAH-CARROLL,F,07-06-1970,ARAÑITA,JENNIFER99@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,28-11-2020,SAMANTHA-ROBERTS-PHD,F,24-08-1929,EL-TROPEZON,KINGJOHN@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-MECÁNICA,30-11-2020,BRITTNEY-COLE,F,24-10-1978,CAMPO-SABATE,SULLIVANCHRIS@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,CIENCIAS-VETERINARIAS,22-01-2021,ROBERT-CLINE,M,15-11-1928,ESTACION-CHRISTOPHERSEN,STEVE62@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,AGRONOMÍA,26-11-2020,CRYSTAL-SIMS,F,10-04-1949,AGUARA,LEVANS@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,CONTADOR-PÚBLICO-,05-01-2021,TARA-VILLANUEVA,F,09-06-1989,ANAHI,CODYADAMS@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,18-01-2021,MICHAEL-JENKINS-II,M,11-02-2008,HUANGUELEN,JGARCIA@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-DE-IMAGEN-Y-SONIDO,29-09-2020,COURTNEY-JOHNSON,F,08-04-1936,AVANZADA,YESENIA38@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-EN-INFORMÁTICA,24-11-2020,MICHAEL-PERKINS,M,23-05-1990,CESPEDES,DAVIDROBERTS@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,FARMACIA,14-01-2021,BRIAN-ORTEGA,M,02-10-1957,EL-CAMOATI,SHAWNPHAM@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-ELECTRÓNICA,26-10-2020,JAMES-JOHNSON,M,16-09-1973,AGUSTONI,KYLEELLIOTT@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,16-12-2020,YVONNE-OROZCO,F,20-05-1917,BARRA-BONITA,JENNIFERESPARZA@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIA-Y-TECNOLOGÍA-DE-ALIMENTOS,27-01-2021,CINDY-ELLIS,F,21-11-2001,CHUMBICHA,JOY10@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,BIOQUÍMICA,07-10-2020,VICTOR-FREEMAN,M,28-10-1985,ATREUCO,PPARKER@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,MEDICINA,06-10-2020,JOHN-PIERCE,M,06-07-1945,GENERAL-ROJO,GDAVIS@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,AGRONOMÍA,04-10-2020,JEFFERY-SILVA,M,26-09-1940,COLONIA-CLARA,MOSSLINDSEY@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,11-01-2021,TAYLOR-BRIDGES,M,09-05-2002,FUNKE,JONESSHELBY@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-AMBIENTALES,22-12-2020,CARMEN-SHAW,F,29-01-1949,EL-PALMAR-DE-SAN-FRANCISCO,ROGERSREBECCA@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,29-12-2020,MIGUEL-REESE,M,24-04-1998,CAA-YARI,BJOHNSON@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-GEOLÓGICAS,30-10-2020,MARIA-MURPHY,F,05-02-1906,BAJO-DE-LOS-SUELDOS,FREDERICKDERRICK@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-ARTES,19-01-2021,VANESSA-POWELL,F,17-01-2020,CAMPO-MEDINA,SYLVIA73@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,29-12-2020,TERRY-SMITH,F,24-08-1935,LOS-FRENTONES,ANGELA52@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-DE-IMAGEN-Y-SONIDO,10-09-2020,MATTHEW-FRAZIER,M,30-09-1917,ALCARAZ-NORTE,JAMESPETERSON@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-AMBIENTALES,05-12-2020,CARMEN-BROWN,F,27-12-2014,ACUÑA-CUE,BROWNMATTHEW@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-INDUSTRIAL,13-12-2020,DEBORAH-MCNEIL,F,03-08-1970,CHACABUCO,LOPEZJEFFREY@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,23-11-2020,ROBERT-YANG,M,29-01-1985,CHUMBICHA,MATTHEWDUNCAN@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-MECÁNICA,17-09-2020,MELISSA-YU,F,08-06-1922,AGUA-DE-DIAZ,TERESACASTILLO@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-ELECTRÓNICA,05-09-2020,VICTORIA-MOSES,F,28-02-1949,ALZAGA,OLE@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-SOCIOLOGÍA-,23-09-2020,RICHARD-JONES,M,24-12-2018,CHEROGUITA,REBECCA88@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,04-09-2020,NANCY-MOONEY,F,19-09-1932,SAN-GERONIMO,REEVESDANIEL@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-ARTES,17-01-2021,RYAN-JORDAN,M,31-10-1909,ISLA-GRANDE,BROWNTIFFANY@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-ARTES,23-11-2020,MICHAEL-PATRICK,M,15-06-1947,ZONA-DELTA-TIGRE,RANDYDIAZ@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,25-01-2021,BRANDON-HUBBARD,M,13-09-2003,ALGARROBITOS-1RO,HSOTO@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,09-09-2020,LISA-HERRERA,F,08-03-1914,COLONIA-ABORIGEN,FERGUSONCHERYL@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PSICOLOGÍA,26-10-2020,SAMANTHA-PETERSON,F,25-07-1961,ALDEA-ESCOLAR,HARRISSTANLEY@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,16-09-2020,CHAD-BOND,M,26-01-1963,CRISPI,SUMMERRICH@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIA-Y-TECNOLOGÍA-DE-ALIMENTOS,08-11-2020,LISA-RUIZ,F,09-10-2002,COMODORO-RIVADAVIA,MADISON25@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,23-09-2020,MRS.-CASSANDRA-STRICKLAND,F,05-12-2000,MORON,OHANNA@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,19-11-2020,MICHAEL-ARCHER,M,14-04-2004,ARANO,YVONNESMITH@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-ADMINISTRACIÓN-,11-09-2020,MARGARET-DAVIS,F,21-04-1960,KILOMETRO-208,HGREEN@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIA-POLÍTICA-,07-10-2020,CHRISTOPHER-WASHINGTON,M,07-01-1966,BONIFACIO,MULLENJENNIFER@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PLANIFICACIÓN-Y-DISEÑO-DEL-PAISAJE,17-12-2020,DIANE-REYNOLDS,F,07-06-2011,CERRILLOS-AL-SUD,JONATHAN82@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,CIENCIAS-VETERINARIAS,22-01-2021,CATHERINE-MCGRATH,F,01-05-1951,ARROYO-CASCO,SCOTTGOLDEN@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,09-09-2020,JOHN-MULLINS,M,22-12-1907,COLONIA-LA-INDIA,EFITZPATRICK@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,11-01-2021,MANUEL-CAMPBELL,M,12-12-1922,COLONIA-LOS-SAUCES,SARAHTHOMAS@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-EN-INFORMÁTICA,03-11-2020,KEITH-CARTER,M,02-07-1972,BARLETT,CHAVEZDAVID@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-DE-IMAGEN-Y-SONIDO,21-10-2020,SCOTT-PUGH,M,20-03-1922,MERLO,SARA81@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-ADMINISTRACIÓN-,28-10-2020,EMILY-ANDERSON,F,26-01-2021,EL-TALA,EBAILEY@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,20-10-2020,MRS.-JAMIE-HENRY-MD,F,09-07-2007,CAMPO-DE-VILLAMIL,RWALTERS@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,CONTADOR-PÚBLICO-,14-09-2020,RENEE-COLEMAN,F,06-01-1979,RANELAGH,DEREKSIMMONS@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,27-11-2020,DANIEL-RODRIGUEZ,M,01-07-1971,AGRELO,MARTINEZCLAUDIA@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-MECÁNICA,09-09-2020,KAITLIN-LOZANO,F,13-01-1911,ADOLFO-VAN-PRAET,QJOHNSON@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-MUSICOTERAPIA,19-10-2020,ASHLEY-MILLER,F,15-07-1945,COLONIA-MACKINLAY,HENRYPAMELA@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,18-12-2020,EMILY-LOPEZ,F,25-07-1972,LA-DULCE,WILLISLINDSEY@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,TÉCNICO-PARA-BIOTERIOS-,18-12-2020,LORRAINE-LONG,F,12-09-1920,AGUA-COLORADA,PEREZAARON@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,10-12-2020,VICTORIA-COLLINS,F,11-10-1945,CAMBA-PASO,MARTINEZERICA@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIA-POLÍTICA-,06-09-2020,CHRISTOPHER-THOMAS,M,27-12-1982,CAÑADON-LA-MADERA,CASEYMATA@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,ARQUITECTURA,17-11-2020,JENNA-HENRY,F,20-03-1961,ARENAZA,LREEVES@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,20-01-2021,STEPHANIE-TANNER,F,07-05-1915,CARAHUNCO,BRENDA43@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,20-01-2021,APRIL-MEJIA,F,08-06-1995,ARROYO-SANTA-MARIA,XRANDOLPH@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,27-09-2020,MICHAEL-GREEN,M,13-01-1929,EL-CARRETERO,LOGANSCHROEDER@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PLANIFICACIÓN-Y-DISEÑO-DEL-PAISAJE,04-10-2020,MARY-WHITE,F,05-08-1969,COSTA-DEL-NOGOYA,SABRINA51@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,BIOQUÍMICA,02-11-2020,JOHN-WEBSTER,M,22-10-1907,ESTACION-SALADAS,HBUTLER@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,19-12-2020,MEGHAN-PRICE,F,25-02-1906,GRACIARENA,NICHOLAS25@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,07-12-2020,DAVID-BROWN,M,22-01-1998,CARACOLES,WHITEAMY@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-AMBIENTALES,01-01-2021,BRIAN-CARPENTER,M,22-05-1973,ANTA-CHICA,IHOGAN@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,13-10-2020,CAROLYN-JIMENEZ-PHD,F,23-01-1950,CATUA,BAKERLAURIE@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,09-09-2020,DARREN-HILL,M,14-09-1985,8-DE-DICIEMBRE,SHERRYCHAN@HOTMAIL.COM
